Signal,Final Equity,Total Return,Max Drawdown
rrg,10237.186100000003,2.3718610000000195,-2.5513356396768745
rema_50100150,10134.96509999999,1.3496509999999073,-2.3126814341433035
rbo_20,10091.594399999987,0.9159439999998797,-2.676979649746638
rsma_100150,9997.621200000007,-0.02378799999993575,-2.3276244232220287
rema_50100,9993.898400000013,-0.0610159999998694,-1.8278774934329014
rtt_5020,9967.196300000001,-0.32803699999998104,-1.3403439671913329
rbo_50,9959.8906,-0.40109399999999074,-1.8425779777785478
rema_100150,9912.832999999995,-0.8716700000000466,-2.0570515225001036
rsma_50100150,9773.149700000002,-2.2685029999999773,-3.5591526589198086
rbo_100,9678.85049999999,-3.2114950000001086,-4.129526871362075
rsma_50100,9636.804199999984,-3.6319580000001572,-4.975164008827924
