equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal,Ticker
rbo_50__rema_50100150_equity_convex,2400.9669000000117,-75.99033099999988,-80.11482799999992,rbo_50__rema_50100150,129.0,rbo_50__rema_50100150,STLAM.MI
rbo_20__rema_50100150_equity_convex,2292.2905999999766,-77.07709400000023,-84.46264198106252,rbo_20__rema_50100150,117.0,rbo_20__rema_50100150,STLAM.MI
rbo_50__rsma_50100150_equity_concave,2150.922800000013,-78.49077199999988,-83.69106199999989,rbo_50__rsma_50100150,124.0,rbo_50__rsma_50100150,STLAM.MI
rbo_50__rema_50100150_equity_concave,1969.0517000000127,-80.30948299999987,-83.69106199999989,rbo_50__rema_50100150,129.0,rbo_50__rema_50100150,STLAM.MI
rbo_20__rema_50100150_equity_concave,1779.6498999999876,-82.20350100000012,-88.08227356745249,rbo_20__rema_50100150,117.0,rbo_20__rema_50100150,STLAM.MI
rsma_50100150__rema_50100150_equity_concave,1052.5776000000003,-89.47422399999999,-94.7554179252798,rsma_50100150__rema_50100150,17.0,rsma_50100150__rema_50100150,STLAM.MI
rema_50100150__rsma_50100150_equity_convex,706.7590000000007,-92.93241,-96.42201,rema_50100150__rsma_50100150,1.0,rema_50100150__rsma_50100150,STLAM.MI
rema_50100150__rsma_50100150_equity_concave,706.7590000000007,-92.93241,-96.42201,rema_50100150__rsma_50100150,1.0,rema_50100150__rsma_50100150,STLAM.MI
rsma_50100150__rbo_20_equity_convex,618.3307000000106,-93.8166929999999,-105.4456759215437,rsma_50100150__rbo_20,11.0,rsma_50100150__rbo_20,STLAM.MI
rsma_50100150__rtt_5020_equity_convex,618.3307000000106,-93.8166929999999,-105.4456759215437,rsma_50100150__rtt_5020,11.0,rsma_50100150__rtt_5020,STLAM.MI
rbo_100__rbo_20_equity_convex,435.5512000000087,-95.64448799999992,-125.11975699999992,rbo_100__rbo_20,36.0,rbo_100__rbo_20,STLAM.MI
rema_50100150__rema_50100150_equity_concave,357.79900000000043,-96.42201,-96.42201,rema_50100150__rema_50100150,1.0,rema_50100150__rema_50100150,STLAM.MI
rema_50100150__rema_50100150_equity_convex,357.79900000000043,-96.42201,-96.42201,rema_50100150__rema_50100150,1.0,rema_50100150__rema_50100150,STLAM.MI
rbo_50__rbo_20_equity_convex,155.69230000000834,-98.44307699999992,-125.11975699999992,rbo_50__rbo_20,24.0,rbo_50__rbo_20,STLAM.MI
rtt_5020_equity_convex,-218.32949999999656,-102.18329499999996,-112.96075371129304,rtt_5020,,rtt_5020,STLAM.MI
rema_50100150__rtt_5020_equity_convex,-235.4218999999955,-102.35421899999994,-112.84871599999995,rema_50100150__rtt_5020,7.0,rema_50100150__rtt_5020,STLAM.MI
rema_50100150__rbo_20_equity_convex,-235.4218999999955,-102.35421899999994,-112.84871599999995,rema_50100150__rbo_20,7.0,rema_50100150__rbo_20,STLAM.MI
rbo_20__rbo_20_equity_convex,-255.22399999999493,-102.55223999999994,-163.8852909080596,rbo_20__rbo_20,4.0,rbo_20__rbo_20,STLAM.MI
rbo_20__rbo_20_equity_concave,-255.22399999999493,-102.55223999999994,-163.8852909080596,rbo_20__rbo_20,4.0,rbo_20__rbo_20,STLAM.MI
rtt_5020_equity_concave,-298.8339999999981,-102.98834,-117.11199487133013,rtt_5020,,rtt_5020,STLAM.MI
rbo_20__rtt_5020_equity_convex,-709.1336000000011,-107.091336,-194.37169781637928,rbo_20__rtt_5020,3.0,rbo_20__rtt_5020,STLAM.MI
rbo_20__rtt_5020_equity_concave,-709.1336000000011,-107.091336,-194.37169781637928,rbo_20__rtt_5020,3.0,rbo_20__rtt_5020,STLAM.MI
rtt_5020__rbo_20_equity_concave,-1414.7342999999946,-114.14734299999996,-163.8852909080596,rtt_5020__rbo_20,3.0,rtt_5020__rbo_20,STLAM.MI
rtt_5020__rbo_20_equity_convex,-1414.7342999999946,-114.14734299999996,-163.8852909080596,rtt_5020__rbo_20,3.0,rtt_5020__rbo_20,STLAM.MI
rbo_50__rbo_20_equity_concave,-1911.1502999999907,-119.11150299999991,-191.42146199999988,rbo_50__rbo_20,24.0,rbo_50__rbo_20,STLAM.MI
rbo_20__rbo_100_equity_convex,-2521.647799999997,-125.21647799999998,-194.37169781637928,rbo_20__rbo_100,14.0,rbo_20__rbo_100,STLAM.MI
rbo_20__rbo_100_equity_concave,-2521.647799999997,-125.21647799999998,-194.37169781637928,rbo_20__rbo_100,14.0,rbo_20__rbo_100,STLAM.MI
rbo_20__rbo_50_equity_concave,-2857.4888000000037,-128.57488800000004,-194.37169781637928,rbo_20__rbo_50,15.0,rbo_20__rbo_50,STLAM.MI
rbo_20__rbo_50_equity_convex,-2857.4888000000037,-128.57488800000004,-194.37169781637928,rbo_20__rbo_50,15.0,rbo_20__rbo_50,STLAM.MI
rtt_5020__rbo_50_equity_convex,-3952.603199999999,-139.526032,-194.37169781637928,rtt_5020__rbo_50,2.0,rtt_5020__rbo_50,STLAM.MI
rtt_5020__rtt_5020_equity_convex,-3952.603199999999,-139.526032,-194.37169781637928,rtt_5020__rtt_5020,2.0,rtt_5020__rtt_5020,STLAM.MI
rtt_5020__rbo_50_equity_concave,-3952.603199999999,-139.526032,-194.37169781637928,rtt_5020__rbo_50,2.0,rtt_5020__rbo_50,STLAM.MI
rtt_5020__rtt_5020_equity_concave,-3952.603199999999,-139.526032,-194.37169781637928,rtt_5020__rtt_5020,2.0,rtt_5020__rtt_5020,STLAM.MI
rsma_50100150__rtt_5020_equity_concave,-4060.380799999988,-140.60380799999987,-134.93654340178364,rsma_50100150__rtt_5020,11.0,rsma_50100150__rtt_5020,STLAM.MI
rsma_50100150__rbo_20_equity_concave,-4060.380799999988,-140.60380799999987,-134.93654340178364,rsma_50100150__rbo_20,11.0,rsma_50100150__rbo_20,STLAM.MI
rtt_5020__rbo_100_equity_concave,-4207.768300000002,-142.077683,-194.37169781637928,rtt_5020__rbo_100,10.0,rtt_5020__rbo_100,STLAM.MI
rtt_5020__rbo_100_equity_convex,-4207.768300000002,-142.077683,-194.37169781637928,rtt_5020__rbo_100,10.0,rtt_5020__rbo_100,STLAM.MI
rema_50100150__rtt_5020_equity_concave,-4600.869399999996,-146.00869399999996,-161.73993599999997,rema_50100150__rtt_5020,7.0,rema_50100150__rtt_5020,STLAM.MI
rema_50100150__rbo_20_equity_concave,-4600.869399999996,-146.00869399999996,-161.73993599999997,rema_50100150__rbo_20,7.0,rema_50100150__rbo_20,STLAM.MI
