Signal,Final Equity,Total Return,Max Drawdown
rbo_20,10281.684399999996,2.816843999999974,-3.1222218802980635
rema_50100150,10243.716399999998,2.4371639999999806,-2.5147084314048684
rtt_5020,10205.646000000004,2.0564600000000377,-2.528780676880152
rbo_50,10187.874800000021,1.8787480000002077,-2.6216800409746837
rbo_100,10175.153500000013,1.7515350000001373,-1.8588486158956954
rsma_50100,10161.94630000001,1.6194630000001098,-2.6788334563288854
rema_50100,10158.661200000004,1.5866120000000317,-1.6949989433647086
rrg,10047.328600000003,0.4732860000000283,-1.2248741644612207
rsma_100150,10037.05899999998,0.37058999999979303,-1.3119578548934834
rema_100150,9909.133999999987,-0.9086600000001277,-2.64108600671317
rsma_50100150,9898.367200000004,-1.0163279999999553,-1.5701093151225927
