Signal,Final Equity,Return %,Max DD %
rsma_50100150,104169.71390000013,4.169713900000138,-5.234647828471284
rema_50100150,103036.49369999944,3.036493699999432,-4.414267798926137
rbo_20,102938.20080000006,2.938200800000068,-3.268989824372237
rtt_5020,101658.28079999975,1.658280799999745,-2.6309009579983416
rrg,101145.47929999985,1.1454792999998409,-3.4281202533320667
rbo_50,100687.49,0.6874900000000128,-3.067281158203714
rbo_100,97196.49969999983,-2.8035003000001724,-3.8065192753388626
rema_50100,97080.1829999999,-2.9198170000001022,-4.188399026657131
rsma_50100,96042.94979999997,-3.957050200000023,-5.211132570498072
rsma_100150,94470.26049999979,-5.529739500000219,-5.86950490000016
rema_100150,91253.28519999971,-8.746714800000287,-8.78713540000029
