Signal,Final Equity,Total Return,Max Drawdown
rsma_100150,10136.421699999997,1.3642169999999787,-1.6803238058109193
rema_50100150,10102.001500000002,1.0200150000000185,-1.8771199380873287
rrg,10077.859200000003,0.7785920000000335,-1.3400088788072293
rbo_20,10015.906199999996,0.1590619999999543,-1.3348556874275799
rtt_5020,9985.108299999989,-0.14891700000011499,-0.823266306892867
rbo_50,9974.507699999984,-0.2549230000001623,-1.1607025536767985
rema_100150,9971.924100000004,-0.2807589999999638,-1.4183494766790836
rsma_50100150,9962.169000000005,-0.3783099999999484,-1.2727653483818377
rsma_50100,9902.650700000007,-0.9734929999999253,-1.8189672273245552
rbo_100,9889.52149999999,-1.104785000000097,-1.6041494393150626
rema_50100,9770.612899999984,-2.2938710000001583,-2.9759292516623863
