Signal,Final Equity,Total Return,Max Drawdown
rrg,11041.261600000054,10.41261600000054,-9.705189450302544
rsma_100150,10671.617999999997,6.7161799999999605,-7.801899624612217
rsma_50100150,10488.93540000001,4.889354000000101,-7.530909830493597
rema_50100150,10399.182500000004,3.9918250000000377,-7.305764126672089
rsma_50100,10125.5819,1.2558190000000025,-6.124814714522872
rbo_50,10037.199899999978,0.3719989999997786,-3.9519009790627955
rema_50100,9938.045299999974,-0.6195470000002534,-5.813698966364899
rtt_5020,9936.380999999992,-0.6361900000000809,-2.859688186004881
rema_100150,9898.340399999977,-1.016596000000225,-5.556316236006198
rbo_100,9887.819899999957,-1.121801000000433,-6.13296519807137
rbo_20,9786.494499999999,-2.135055000000008,-4.541872754449223
