Signal,Final Equity,Total Return,Max Drawdown
rrg,10193.746800000004,1.9374680000000533,-2.039736548446402
rbo_100,10117.200799999995,1.1720079999999466,-1.5851760708201008
rema_100150,10115.440300000018,1.1544030000001815,-1.5716848904891598
rsma_100150,10078.170000000011,0.7817000000001073,-1.5252277656301285
rsma_50100,10064.404399999992,0.6440439999999326,-1.4143928367977747
rema_50100,10054.01180000001,0.5401180000000894,-1.560311912178411
rsma_50100150,9968.772099999993,-0.3122790000000708,-0.9863419779470814
rbo_50,9956.924800000003,-0.4307519999999787,-1.3387849999999888
rbo_20,9902.978900000004,-0.9702109999999653,-2.110211661433228
rtt_5020,9897.41490000001,-1.0258509999998888,-1.0447159999998985
rema_50100150,9824.626300000013,-1.7537369999998775,-2.055705481318498
