Signal,Final Equity,Total Return,Max Drawdown
rbo_50,10218.179300000003,2.181793000000032,-3.3634121407648814
rtt_5020,10103.660999999982,1.0366099999998157,-1.7216968991413946
rbo_100,10058.655300000011,0.5865530000001229,-2.6349780267251557
rema_50100150,10055.544200000011,0.5554420000001059,-2.1721694790059627
rema_50100,10051.446000000009,0.5144600000000832,-2.6349780267251557
rsma_50100150,10036.967800000008,0.3696780000000732,-2.3604535380212557
rsma_50100,10028.4981,0.28498100000000637,-2.84219230464037
rrg,10002.801199999998,0.028011999999977277,-1.7367992877683092
rema_100150,9963.651400000013,-0.3634859999998685,-2.294725338212629
rbo_20,9956.811199999975,-0.43188800000025784,-2.3094605738328755
rsma_100150,9952.166399999996,-0.47833600000003473,-2.4892528255856243
