Signal,Final Equity,Total Return,Max Drawdown
rbo_50,10196.97340000002,1.9697340000002006,-2.0001662842470807
rtt_5020,10125.991100000014,1.2599110000001357,-1.7547365696293362
rbo_20,10070.414200000007,0.7041420000000631,-1.9978589087323824
rema_100150,10064.324599999998,0.6432459999999862,-2.1303639858067815
rema_50100150,10064.193099999997,0.6419309999999623,-1.3209496777486047
rsma_50100,10043.506500000009,0.43506500000007886,-1.4757502561307403
rsma_50100150,10018.333300000002,0.18333300000001884,-1.2022582382947287
rema_50100,10001.958400000007,0.01958400000006133,-1.2468626188108076
rbo_100,9937.1737,-0.6282630000000067,-1.3927979528976822
rrg,9913.312799999996,-0.8668720000000407,-2.407079478757889
rsma_100150,9895.725499999993,-1.042745000000067,-1.905708553194706
