Signal,Final Equity,Total Return,Max Drawdown
rrg,10243.396399999989,2.4339639999998886,-2.622455183932454
rema_50100,10219.7327,2.1973270000000156,-2.67893011756443
rema_100150,10203.291799999986,2.0329179999998725,-2.439910611751131
rbo_100,10105.152800000009,1.0515280000000793,-2.1082733253492005
rsma_100150,10079.279299999987,0.7927929999998806,-2.1802312879236214
rsma_50100,10029.264799999999,0.29264799999999536,-2.4578344460945627
rbo_50,9982.20659999999,-0.17793400000009063,-2.090424611045356
rtt_5020,9964.939500000004,-0.3506049999999594,-2.1268067182304375
rbo_20,9910.953200000004,-0.8904679999999665,-2.2211375361643917
rsma_50100150,9859.365900000013,-1.4063409999998666,-2.2219178944962055
rema_50100150,9796.708200000014,-2.0329179999998614,-2.493180932238405
