Signal,Final Equity,Total Return,Max Drawdown
rsma_50100150,10084.940300000006,0.8494030000000485,-1.3825726023258318
rema_50100150,10069.932099999998,0.6993209999999861,-1.065335968275602
rrg,10000.408000000007,0.004080000000072914,-1.4956186353001257
rbo_50,9999.333999999984,-0.006660000000158206,-0.8984586236945522
rtt_5020,9966.087300000001,-0.3391269999999946,-0.8908210467380329
rema_50100,9958.368800000006,-0.41631199999994095,-1.401102953075147
rbo_20,9898.623400000015,-1.0137659999998494,-1.3276819946568854
rsma_50100,9888.761300000013,-1.1123869999998703,-1.7224183219347429
rbo_100,9885.02849999999,-1.1497150000001066,-1.748013309864938
rsma_100150,9803.700800000015,-1.9629919999998524,-2.2357815382010613
rema_100150,9800.979600000015,-1.990203999999851,-2.5944883953878306
