Signal,Final Equity,Total Return,Max Drawdown,Ticker
rsma_50100150,2532.375199999998,1.2950079999999309,-2.526739628281504,A2A.MI
rbo_20,2530.4612000000034,1.2184480000001274,-1.5802394851969583,A2A.MI
rema_50100150,2507.7818999999968,0.3112759999998715,-1.0622800859166956,A2A.MI
rsma_100150,2491.822199999993,-0.3271120000002736,-1.0294826470130742,A2A.MI
rtt_5020,2489.7582,-0.4096720000000053,-1.0766067998072262,A2A.MI
rrg,2485.2898,-0.588408000000018,-1.4891977234866354,A2A.MI
rbo_50,2471.5098000000025,-1.1396079999999031,-1.7208582216073842,A2A.MI
rema_50100,2457.7467999999967,-1.690128000000135,-2.339518174121816,A2A.MI
rbo_100,2452.272200000005,-1.9091119999998016,-2.822915776652112,A2A.MI
rema_100150,2444.887199999994,-2.204512000000236,-2.686107646764212,A2A.MI
rsma_50100,2439.4282999999987,-2.422868000000056,-3.137800519656388,A2A.MI
rsma_100150,2567.313999999996,2.6925599999998218,-2.9029328049026657,AMP.MI
rema_100150,2567.313999999996,2.6925599999998218,-2.9029328049026657,AMP.MI
rrg,2560.7175999999963,2.4287039999998594,-2.459031232461993,AMP.MI
rbo_100,2560.418899999996,2.4167559999998423,-2.9107432399447446,AMP.MI
rema_50100,2547.014299999997,1.880571999999892,-2.926048228582002,AMP.MI
rbo_20,2540.5355999999983,1.621423999999938,-2.6943158973025056,AMP.MI
rtt_5020,2526.5892999999974,1.0635719999998905,-1.9870743348835391,AMP.MI
rsma_50100,2522.7116999999967,0.9084679999998624,-2.3108231326501305,AMP.MI
rbo_50,2504.607799999997,0.1843119999999087,-2.204578986333741,AMP.MI
rsma_50100150,2463.3548000000037,-1.4658079999998683,-2.2488959999998586,AMP.MI
rema_50100150,2432.686000000004,-2.692559999999833,-2.977853169160501,AMP.MI
rsma_50100,2537.9077999999936,1.5163119999997532,-2.0324690212722296,ANIM.MI
rsma_50100150,2535.239900000006,1.409596000000235,-1.6531084587168523,ANIM.MI
rbo_100,2531.3444999999992,1.25377999999996,-1.951718027395429,ANIM.MI
rbo_20,2526.238800000004,1.0495520000001424,-1.8418180982409893,ANIM.MI
rtt_5020,2515.291199999999,0.6116479999999758,-1.6996213751253184,ANIM.MI
rema_50100,2514.424299999999,0.5769719999999756,-1.951718027395429,ANIM.MI
rema_50100150,2513.467900000004,0.5387160000001723,-1.837481710767684,ANIM.MI
rbo_50,2509.5585,0.3823399999999921,-1.7419031201774386,ANIM.MI
rema_100150,2509.0873,0.3634920000000097,-1.837481710767684,ANIM.MI
rsma_100150,2505.1177,0.2047079999999868,-1.837481710767684,ANIM.MI
rrg,2501.069999999997,0.0427999999998762,-0.5423155776845753,ANIM.MI
rrg,2531.3371000000016,1.253484000000071,-1.4567296894240216,AZM.MI
rema_50100150,2520.2756999999992,0.8110279999999692,-1.2282023326231817,AZM.MI
rsma_50100150,2509.733699999997,0.3893479999998783,-0.9052396294959622,AZM.MI
rema_50100,2508.9354000000003,0.3574160000000104,-0.8417816124651737,AZM.MI
rema_100150,2507.027799999999,0.2811119999999611,-0.7292625662974076,AZM.MI
rbo_100,2504.285399999999,0.1714159999999465,-0.9031637277227026,AZM.MI
rsma_50100,2502.006400000003,0.0802560000001229,-0.867152213897308,AZM.MI
rbo_50,2496.8589000000024,-0.1256439999999026,-0.9557577548404604,AZM.MI
rsma_100150,2480.2527999999984,-0.7898880000000608,-1.448366037064356,AZM.MI
rtt_5020,2479.8483000000024,-0.8060679999999043,-0.9440998999321752,AZM.MI
rbo_20,2475.1372,-0.994512000000014,-1.6266757767791498,AZM.MI
rrg,2603.422599999998,4.13690399999993,-4.283383831078442,BAMI.MI
rema_100150,2585.104600000004,3.4041840000001766,-3.964143906177433,BAMI.MI
rema_50100150,2585.104600000004,3.4041840000001766,-3.964143906177433,BAMI.MI
rbo_100,2580.8272000000043,3.2330880000001727,-3.713056232306673,BAMI.MI
rema_50100,2579.9524000000038,3.198096000000139,-3.7999296217769873,BAMI.MI
rbo_50,2572.346000000006,2.893840000000236,-3.118442935116035,BAMI.MI
rsma_50100150,2555.4327000000003,2.217308000000018,-2.989450095483061,BAMI.MI
rtt_5020,2538.175200000002,1.527008000000074,-2.3953927502031327,BAMI.MI
rsma_100150,2531.306200000002,1.252248000000078,-2.384286549201588,BAMI.MI
rsma_50100,2523.6848000000027,0.9473920000001136,-2.593336840357776,BAMI.MI
rbo_20,2497.257600000005,-0.1096959999998037,-2.4798825929190493,BAMI.MI
rsma_50100,2526.988199999999,1.079527999999952,-1.4435889377811273,BC.MI
rema_50100,2522.1176000000005,0.884704000000025,-1.2751404655179397,BC.MI
rbo_100,2514.154200000001,0.5661680000000446,-1.2791745029394956,BC.MI
rbo_50,2509.8247999999985,0.3929919999999365,-1.7658822219518342,BC.MI
rrg,2502.3859,0.0954360000000154,-1.0598293102294432,BC.MI
rbo_20,2497.974199999998,-0.0810320000000919,-1.4007864470574287,BC.MI
rtt_5020,2497.3189999999963,-0.1072400000001416,-1.1088089792634992,BC.MI
rema_100150,2496.6560000000018,-0.1337599999999272,-1.494318518880968,BC.MI
rsma_100150,2486.8902000000016,-0.5243919999999291,-1.8328791752001048,BC.MI
rsma_50100150,2467.5142000000023,-1.2994319999999115,-1.7755825022831764,BC.MI
rema_50100150,2462.861000000001,-1.4855599999999636,-1.937727532940926,BC.MI
rbo_50,2523.6593000000003,0.9463720000000064,-1.415183584954702,BGN.MI
rtt_5020,2511.8483999999994,0.4739359999999859,-0.7509612991953817,BGN.MI
