date,rbo_20,rbo_50,rbo_100,rtt_5020,rsma_50100,rsma_100150,rsma_50100150,rema_50100,rema_100150,rema_50100150,rrg,ticker
2026-02-06,-1.0,-1.0,1.0,-1,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,ERG.MI
2026-02-06,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ISP.MI
2026-02-06,-1.0,-1.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,BC.MI
2026-02-06,1.0,-1.0,-1.0,0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,G.MI
2026-02-06,1.0,-1.0,1.0,0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,IGD.MI
2026-02-06,1.0,1.0,1.0,1,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,SPM.MI
2026-02-06,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,TGYM.MI
2026-02-06,-1.0,-1.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,VLS.MI
2026-02-06,-1.0,-1.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,AMP.MI
2026-02-06,-1.0,-1.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,PIA.MI
2026-02-06,-1.0,-1.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,GVS.MI
2026-02-06,-1.0,-1.0,-1.0,-1,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,BZU.MI
2026-02-06,-1.0,-1.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,ITW.MI
2026-02-06,-1.0,-1.0,1.0,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,AZM.MI
2026-02-06,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,BMED.MI
2026-02-06,-1.0,1.0,-1.0,0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,STMMI.MI
2026-02-06,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,IP.MI
2026-02-06,1.0,1.0,-1.0,1,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,HER.MI
2026-02-06,-1.0,-1.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,NEXI.MI
2026-02-06,-1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,CEM.MI
2026-02-06,1.0,-1.0,-1.0,0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,RWAY.MI
2026-02-06,-1.0,-1.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,RACE.MI
2026-02-06,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PRY.MI
2026-02-06,1.0,1.0,-1.0,1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,MB.MI
2026-02-06,-1.0,1.0,-1.0,0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,JUVE.MI
2026-02-06,-1.0,-1.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,REC.MI
2026-02-06,-1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,ELN.MI
2026-02-06,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,BPE.MI
2026-02-06,1.0,1.0,-1.0,1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,PIRC.MI
2026-02-06,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,OVS.MI
2026-02-06,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,WIIT.MI
2026-02-06,-1.0,-1.0,-1.0,-1,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,TRN.MI
2026-02-06,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ENAV.MI
2026-02-06,-1.0,-1.0,-1.0,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,UNI.MI
2026-02-06,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ENI.MI
2026-02-06,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ENEL.MI
2026-02-06,1.0,1.0,1.0,1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,ANIM.MI
2026-02-06,-1.0,-1.0,1.0,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,SFER.MI
2026-02-06,-1.0,-1.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,MARR.MI
2026-02-06,-1.0,-1.0,1.0,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,LUVE.MI
2026-02-06,1.0,1.0,-1.0,1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,DIA.MI
