Signal,Final Equity,Total Return,Max Drawdown
rrg,10095.094100000008,0.9509410000000829,-1.8680482060875727
rema_100150,10082.77759999999,0.8277759999999024,-2.197093816910338
rema_50100150,10012.770299999991,0.12770299999991241,-1.8256125752878758
rsma_50100150,9979.332099999989,-0.20667900000010953,-1.8595924695982022
rbo_20,9978.055700000008,-0.21944299999991923,-1.2131307484776197
rtt_5020,9961.896600000002,-0.3810339999999801,-1.1336592044991214
rbo_50,9932.703299999992,-0.6729670000000798,-1.7752754152946575
rsma_50100,9910.559599999999,-0.8944040000000153,-2.066227092502846
rbo_100,9892.242699999988,-1.0775730000001205,-2.067409460252253
rema_50100,9879.692099999991,-1.2030790000000846,-1.9933950329849106
rsma_100150,9831.321199999986,-1.686788000000139,-1.9639219194103292
