Signal,Final Equity,Total Return,Max Drawdown
rbo_50,10247.401200000004,2.4740120000000365,-4.369032755268188
rrg,10238.688099999996,2.386880999999952,-3.3079024092073737
rema_100150,10138.213400000022,1.3821340000002236,-3.3721646472508207
rtt_5020,10095.505,0.9550500000000017,-3.685348345124364
rsma_50100,10061.782299999953,0.6178229999995288,-2.911559050521993
rbo_20,9839.764799999986,-1.60235200000014,-4.253923773728735
rsma_50100150,9786.05129999998,-2.1394870000002064,-4.043681231700451
rema_50100,9784.749399999997,-2.152506000000032,-4.059398118981532
rema_50100150,9772.876099999987,-2.271239000000136,-4.269571094815559
rbo_100,9685.037199999975,-3.1496280000002486,-4.258929470739568
rsma_100150,9448.24839999999,-5.5175160000001,-7.097750849334015
