Signal,Final Equity,Total Return,Max Drawdown
rrg,12361.617099999938,23.616170999999376,-19.488620942891533
rema_100150,12074.875099999967,20.748750999999665,-19.58621493080489
rema_50100150,10617.500699999993,6.175006999999932,-7.578604143162231
rbo_100,10573.981800000005,5.739818000000052,-6.463329503241466
rema_50100,10458.691899999978,4.5869189999997895,-6.476876451683751
rsma_50100150,10438.282100000037,4.382821000000359,-6.0886766753062975
rsma_50100,10408.949300000022,4.0894930000002105,-7.023480345146954
rsma_100150,10200.737399999962,2.0073739999996176,-5.195538022988896
rbo_50,9927.052000000003,-0.7294799999999713,-8.214802974892537
rtt_5020,9653.32009999997,-3.466799000000298,-7.334864550251159
rbo_20,9510.03840000001,-4.899615999999895,-8.103167469317544
