Signal,Final Equity,Total Return,Max Drawdown
rbo_20,10395.023799999999,3.9502379999999837,-5.819848911812211
rtt_5020,10209.427700000018,2.0942770000001776,-3.7052173098096635
rema_50100150,10079.814799999993,0.7981479999999319,-4.064478886228507
rsma_50100150,10036.67070000001,0.36670700000009937,-3.482014213445645
rbo_50,9978.090700000006,-0.21909299999993692,-3.1346887816974283
rema_100150,9899.829999999993,-1.001700000000072,-3.4085380880676093
rema_50100,9800.4786,-1.9952140000000007,-4.008355364571602
rrg,9767.279400000009,-2.327205999999915,-4.674681185623364
rsma_100150,9710.895399999992,-2.891046000000075,-4.583340005143762
rbo_100,9571.8459,-4.281541,-5.382231991023281
rsma_50100,9504.262499999972,-4.957375000000286,-5.724559663316623
