Signal,Final Equity,Total Return,Max Drawdown
rrg,12931.306800000013,29.31306800000013,-24.449286163041293
rsma_50100150,11574.891299999988,15.748912999999876,-15.805849886833965
rema_50100150,11459.741999999995,14.59741999999995,-15.174025511797531
rbo_50,11221.83459999999,12.21834599999989,-15.703503201372934
rema_100150,11158.851499999997,11.588514999999976,-14.062126500688315
rema_50100,11073.679600000003,10.736796000000037,-14.168669945284003
rbo_100,11002.5622,10.025622000000013,-14.25887701837005
rsma_100150,10887.316800000004,8.873168000000042,-12.63053482309032
rsma_50100,10694.041800000006,6.94041800000007,-12.855718041590936
rbo_20,10625.487899999984,6.2548789999998355,-8.414296302762743
rtt_5020,10480.161400000006,4.801614000000054,-7.972547999274831
