equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal,Ticker
rbo_20__rbo_20_equity_equal,9931.595700000007,-0.684042999999912,-1.6578291801222105,rbo_20__rbo_20,6.0,rbo_20__rbo_20,QCOM
rema_50100150_equity_equal,9872.78660000001,-1.2721339999998915,-2.295027888003337,rema_50100150,,rema_50100150,QCOM
rbo_20_equity_equal,9797.047400000012,-2.0295259999998816,-3.8944509827192815,rbo_20,,rbo_20,QCOM
rtt_5020_equity_constant,9722.658699999996,-2.773413000000036,-19.865837112472136,rtt_5020,,rtt_5020,QCOM
rbo_20__rtt_5020_equity_constant,9648.573199999992,-3.514268000000087,-14.89816417950487,rbo_20__rtt_5020,5.0,rbo_20__rtt_5020,QCOM
rbo_20__rema_50100150_equity_concave,9585.476300000006,-4.1452369999999465,-54.85906060901734,rbo_20__rema_50100150,75.0,rbo_20__rema_50100150,QCOM
rbo_20__rbo_20_equity_constant,9391.279100000012,-6.087208999999872,-15.744256274903442,rbo_20__rbo_20,6.0,rbo_20__rbo_20,QCOM
rbo_20__rema_50100150_equity_convex,9045.844300000002,-9.541556999999978,-48.159266488102304,rbo_20__rema_50100150,75.0,rbo_20__rema_50100150,QCOM
rbo_20__rbo_50_equity_convex,8853.686999999989,-11.46313000000011,-43.11529456359456,rbo_20__rbo_50,21.0,rbo_20__rbo_50,QCOM
rbo_100__rbo_20_equity_concave,8560.022300000011,-14.39977699999988,-68.77492198772408,rbo_100__rbo_20,43.0,rbo_100__rbo_20,QCOM
rbo_20__rbo_50_equity_concave,8429.427499999985,-15.705725000000148,-55.20277022806391,rbo_20__rbo_50,21.0,rbo_20__rbo_50,QCOM
rbo_100__rema_50100150_equity_convex,7787.797300000015,-22.122026999999854,-37.39973257708292,rbo_100__rema_50100150,107.0,rbo_100__rema_50100150,QCOM
rbo_100__rtt_5020_equity_convex,7731.218799999991,-22.687812000000086,-44.21727114046056,rbo_100__rtt_5020,23.0,rbo_100__rtt_5020,QCOM
rtt_5020_equity_concave,7291.9562,-27.080438000000008,-73.26896974066813,rtt_5020,,rtt_5020,QCOM
rtt_5020_equity_convex,6602.609900000003,-33.97390099999997,-68.67758901246057,rtt_5020,,rtt_5020,QCOM
rbo_100__rema_50100150_equity_concave,5977.230000000007,-40.227699999999935,-50.14877991357242,rbo_100__rema_50100150,107.0,rbo_100__rema_50100150,QCOM
rbo_20__rtt_5020_equity_convex,5593.316000000006,-44.06683999999994,-56.99347118316884,rbo_20__rtt_5020,5.0,rbo_20__rtt_5020,QCOM
rbo_20__rbo_20_equity_concave,5050.418999999995,-49.49581000000005,-61.21754913453552,rbo_20__rbo_20,6.0,rbo_20__rbo_20,QCOM
rbo_20__rbo_20_equity_convex,5043.269000000005,-49.56730999999996,-61.28780154446821,rbo_20__rbo_20,6.0,rbo_20__rbo_20,QCOM
rbo_100__rtt_5020_equity_concave,4787.0827999999865,-52.12917200000013,-62.61165452473377,rbo_100__rtt_5020,23.0,rbo_100__rtt_5020,QCOM
rbo_20__rtt_5020_equity_concave,4528.866299999994,-54.71133700000006,-65.23431271546617,rbo_20__rtt_5020,5.0,rbo_20__rtt_5020,QCOM
rbo_20_equity_constant,,,0.0,rbo_20,,rbo_20,QCOM
rbo_20_equity_concave,,,0.0,rbo_20,,rbo_20,QCOM
rbo_20_equity_convex,,,0.0,rbo_20,,rbo_20,QCOM
rbo_50_equity_constant,,,0.0,rbo_50,,rbo_50,QCOM
rbo_50_equity_concave,,,0.0,rbo_50,,rbo_50,QCOM
rbo_50_equity_convex,,,0.0,rbo_50,,rbo_50,QCOM
rbo_100_equity_constant,,,0.0,rbo_100,,rbo_100,QCOM
rbo_100_equity_concave,,,0.0,rbo_100,,rbo_100,QCOM
rbo_100_equity_convex,,,0.0,rbo_100,,rbo_100,QCOM
rsma_50100150_equity_constant,,,0.0,rsma_50100150,,rsma_50100150,QCOM
rsma_50100150_equity_concave,,,0.0,rsma_50100150,,rsma_50100150,QCOM
rsma_50100150_equity_convex,,,0.0,rsma_50100150,,rsma_50100150,QCOM
rema_50100150_equity_constant,,,0.0,rema_50100150,,rema_50100150,QCOM
rema_50100150_equity_concave,,,0.0,rema_50100150,,rema_50100150,QCOM
rema_50100150_equity_convex,,,0.0,rema_50100150,,rema_50100150,QCOM
rrg_equity_constant,,,0.0,rrg,,rrg,QCOM
rrg_equity_concave,,,0.0,rrg,,rrg,QCOM
rrg_equity_convex,,,0.0,rrg,,rrg,QCOM
rbo_50__rema_50100150_equity_convex,11800.045400000005,18.000454000000033,-86.3441300209443,rbo_50__rema_50100150,24.0,rbo_50__rema_50100150,SBUX
rtt_5020_equity_constant,10739.545100000014,7.395451000000142,-25.63722056391508,rtt_5020,,rtt_5020,SBUX
rbo_50__rema_50100150_equity_constant,10448.639000000005,4.486390000000018,-35.81890655232527,rbo_50__rema_50100150,24.0,rbo_50__rema_50100150,SBUX
rtt_5020__rbo_20_equity_constant,10403.790200000003,4.037902000000049,-16.144226648599506,rtt_5020__rbo_20,6.0,rtt_5020__rbo_20,SBUX
rema_50100150_equity_equal,10364.403499999997,3.6440349999999455,-5.183317446815583,rema_50100150,,rema_50100150,SBUX
rbo_20_equity_equal,10238.031400000003,2.38031400000005,-5.334696855266094,rbo_20,,rbo_20,SBUX
rtt_5020_equity_equal,10128.299099999993,1.2829909999999112,-3.321515374512967,rtt_5020,,rtt_5020,SBUX
rbo_20__rbo_20_equity_constant,10125.3916,1.2539159999999994,-18.372483306382986,rbo_20__rbo_20,8.0,rbo_20__rbo_20,SBUX
rbo_50_equity_equal,10111.690899999983,1.1169089999998327,-4.56020543788902,rbo_50,,rbo_50,SBUX
rtt_5020__rema_50100150_equity_constant,10081.049800000012,0.8104980000001261,-20.115933548884428,rtt_5020__rema_50100150,17.0,rtt_5020__rema_50100150,SBUX
rbo_50__rema_50100150_equity_equal,10068.304200000002,0.6830420000000226,-3.638154404666332,rbo_50__rema_50100150,24.0,rbo_50__rema_50100150,SBUX
rtt_5020__rema_50100150_equity_equal,10036.556199999986,0.3655619999998638,-2.642430541486695,rtt_5020__rema_50100150,17.0,rtt_5020__rema_50100150,SBUX
rtt_5020__rbo_20_equity_equal,10024.283399999991,0.2428339999999362,-1.7669828060070336,rtt_5020__rbo_20,6.0,rtt_5020__rbo_20,SBUX
rbo_20__rbo_20_equity_equal,10001.154699999996,0.0115469999999451,-1.9828082805746703,rbo_20__rbo_20,8.0,rbo_20__rbo_20,SBUX
rtt_5020__rbo_20_equity_concave,9999.003800000022,-0.0099619999997746,-57.59248547799534,rtt_5020__rbo_20,6.0,rtt_5020__rbo_20,SBUX
rema_50100150__rema_50100150_equity_equal,9988.1643,-0.1183570000000133,-3.7424060953536737,rema_50100150__rema_50100150,5.0,rema_50100150__rema_50100150,SBUX
rbo_50__rbo_50_equity_equal,9972.01939999999,-0.2798060000000935,-4.586043152918335,rbo_50__rbo_50,4.0,rbo_50__rbo_50,SBUX
rbo_50__rtt_5020_equity_equal,9972.01939999999,-0.2798060000000935,-4.586043152918335,rbo_50__rtt_5020,4.0,rbo_50__rtt_5020,SBUX
rbo_50__rbo_100_equity_equal,9937.979899999991,-0.6202010000000868,-4.329012113097924,rbo_50__rbo_100,25.0,rbo_50__rbo_100,SBUX
rema_50100150__rbo_20_equity_equal,9937.141199999996,-0.628588000000041,-3.103633827630765,rema_50100150__rbo_20,88.0,rema_50100150__rbo_20,SBUX
rbo_20__rema_50100150_equity_equal,9937.058699999992,-0.6294130000000786,-3.688142397307121,rbo_20__rema_50100150,17.0,rbo_20__rema_50100150,SBUX
rbo_50__rsma_50100150_equity_equal,9933.702799999995,-0.6629720000000283,-4.541306409179542,rbo_50__rsma_50100150,45.0,rbo_50__rsma_50100150,SBUX
rtt_5020__rsma_50100150_equity_equal,9928.358799999993,-0.7164120000000773,-3.298143009276845,rtt_5020__rsma_50100150,34.0,rtt_5020__rsma_50100150,SBUX
rema_50100150__rema_50100150_equity_constant,9923.44070000001,-0.7655929999998978,-28.329918929530717,rema_50100150__rema_50100150,5.0,rema_50100150__rema_50100150,SBUX
rtt_5020__rbo_20_equity_convex,9913.86580000001,-0.8613419999998984,-57.95706846947362,rtt_5020__rbo_20,6.0,rtt_5020__rbo_20,SBUX
rbo_50__rbo_20_equity_equal,9888.887899999994,-1.111121000000059,-3.466816392860913,rbo_50__rbo_20,35.0,rbo_50__rbo_20,SBUX
