Signal,Final Equity,Total Return,Max Drawdown
rbo_20,10421.95209999999,4.219520999999893,-4.3861463320744996
rtt_5020,10294.577600000004,2.9457760000000333,-3.531098472377361
rsma_50100150,10267.822999999982,2.678229999999826,-3.360966095629516
rbo_50,10230.157400000011,2.301574000000106,-3.5160684001993165
rrg,10097.476099999993,0.9747609999999352,-3.107955392383484
rema_50100150,10050.591000000004,0.5059100000000427,-3.183967165185322
rema_100150,10016.350099999992,0.16350099999993262,-2.2371406240741343
rsma_100150,9960.431099999982,-0.3956890000001878,-2.426915285275087
rsma_50100,9836.009800000003,-1.6399019999999709,-3.2184424202249007
rbo_100,9792.532200000001,-2.0746779999999854,-2.9344375449160065
rema_50100,9753.975099999996,-2.4602490000000365,-3.7469788245604234
